district_name,area,production,year
Bengaluru Urban,360.96,2817.9193,2021
Bengaluru Rural,720.77,4845.098,2021
Chikkaballapura,1126.6,8379.5894,2021
Chitradurga,1584.21,6296.953,2021
Davangere,1600.206694,9754.6498,2021
Kolar,4101.0,10729.854,2021
Ramanagara,516.54,1753.926435,2021
Shivamogga,15125.0,76533.22,2021
Tumakuru,8732.2,22917.582,2021
Bagalkote,6009.1,92715.318,2021
Belagavi,8050.79,107553.6245,2021
Vijayapura,1812.34,8778.077,2021
Dharwad,18823.11,20840.99975,2021
Gadag,16853.78,26637.06,2021
Haveri,22037.8,115664.5046,2021
Uttar Kannada,7382.33,26739.0813,2021
Ballari,43591.072,117512.5972,2021
Bidar,3484.0,30668.25,2021
Kalaburagi,2473.0,13229.6588,2021
Koppal,2176.8,2793.0,2021
Raichur,7052.59,14449.65,2021
Yadgiri,1151.81,1508.141,2021
Chamarajanagara,8476.7,36304.7188,2021
Chikkamagaluru,53779.12,38036.186,2021
Dakshina Kannada,13846.46,1938.344502,2021
Hassan,45782.86433,103872.4324,2021
Kodagu,18254.93,22985.4129,2021
Mandya,1161.246594,9749.041209,2021
Mysuru,14270.0,150644.04,2021
Udupi,1867.92,1179.8512,2021
